,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,dial100_count,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd
0,2019-06-01,35,8,5,20,0,100,40.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
1,2019-11-01,29,10,4,10,1,0,35.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
2,2018-10-01,26,8,3,12,0,72,25.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
3,2018-11-01,27,8,4,12,0,64,41.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
4,2020-05-01,32,6,4,10,0,22,55.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
5,2018-08-01,27,12,5,15,0,52,27.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
6,2019-03-01,18,7,3,11,0,84,33.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
7,2018-06-01,45,17,5,27,0,101,69.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
8,2019-07-01,24,4,4,3,0,79,35.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
9,2020-03-01,48,23,8,37,0,13,42.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
10,2019-09-01,29,8,4,8,0,40,22.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
11,2018-09-01,36,14,5,27,0,52,30.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
12,2018-12-01,17,6,3,8,0,50,26.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
13,2019-10-01,47,15,7,21,0,2,21.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
14,2018-05-01,49,18,6,25,0,93,97.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
15,2020-02-01,37,14,4,16,0,9,39.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
16,2019-04-01,25,7,3,8,0,50,36.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
17,2019-01-01,29,8,5,14,0,51,26.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
18,2018-07-01,26,5,1,6,0,58,55.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
19,2019-12-01,28,10,4,15,3,8,23.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
20,2020-01-01,30,11,3,13,0,9,30.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
21,2020-04-01,28,9,6,14,0,11,37.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
22,2019-08-01,33,9,5,9,0,66,32.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
23,2019-02-01,25,8,6,11,0,58,17.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
24,2019-05-01,43,19,7,26,0,77,52.0,1001.0,129345,Rural,1.0,-0.23404086,Treatment,women officers,1000.0,9.0,2.9166667,2.2,0.0,1.0
