,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
0,0,2019-06-01,35,8,5,20,0,100,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,5
1,1,2019-11-01,29,10,4,10,1,0,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,10
2,2,2018-10-01,26,8,3,12,0,72,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,9
3,3,2018-11-01,27,8,4,12,0,64,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,10
4,4,2020-05-01,32,6,4,10,0,22,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2020,4
5,5,2018-08-01,27,12,5,15,0,52,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,7
6,6,2019-03-01,18,7,3,11,0,84,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,2
7,7,2018-06-01,45,17,5,27,0,101,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,5
8,8,2019-07-01,24,4,4,3,0,79,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,6
9,9,2020-03-01,48,23,8,37,0,13,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2020,2
10,10,2019-09-01,29,8,4,8,0,40,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,8
11,11,2018-09-01,36,14,5,27,0,52,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,8
12,12,2018-12-01,17,6,3,8,0,50,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,11
13,13,2019-10-01,47,15,7,21,0,2,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2019,9
14,14,2018-05-01,49,18,6,25,0,93,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0,2018,4
