,ps_code,urban,treatment,regular_whd,women_whd,b_fir_bywomen_count,e_fir_bywomen_count,implement_quality,training_score,month,e_fir_caw_count,b_fir_caw_count,urban_encoded,treatment_encoded
0,1001.0,Rural,Treatment,0.0,1.0,5,3,9.0,2.9166667,1.0,11,8,0.0,1.0
1,1002.0,Rural,Control,0.0,0.0,2,2,0.0,1.5454545,1.0,2,5,0.0,0.0
2,1003.0,Rural,Control,0.0,0.0,5,9,0.0,1.0909091,1.0,14,6,0.0,0.0
3,1004.0,Rural,Treatment,1.0,0.0,4,1,7.0,3.8972974,1.0,2,5,0.0,1.0
4,1005.0,Rural,Treatment,0.0,1.0,1,0,9.0,4.1576576,1.0,0,4,0.0,1.0
5,1006.0,Rural,Treatment,0.0,1.0,6,5,9.0,3.9738562,1.0,8,8,0.0,1.0
6,1007.0,Rural,Control,0.0,0.0,8,2,0.0,1.1666666,1.0,2,11,0.0,0.0
7,1008.0,Rural,Control,0.0,0.0,2,2,0.0,1.4,1.0,3,2,0.0,0.0
8,1009.0,Rural,Treatment,1.0,0.0,1,0,5.0,1.5539216,1.0,0,2,0.0,1.0
9,1010.0,Rural,Treatment,1.0,0.0,6,2,9.0,3.765504,1.0,2,10,0.0,1.0
10,2011.0,Rural,Treatment,0.0,1.0,3,4,9.0,3.77907,1.0,5,4,0.0,1.0
11,2012.0,Rural,Control,0.0,0.0,1,3,0.0,1.2307693,1.0,6,2,0.0,0.0
12,2013.0,Rural,Treatment,0.0,1.0,2,2,9.0,2.6103897,1.0,2,2,0.0,1.0
13,2014.0,Rural,Control,0.0,0.0,6,6,0.0,1.3333334,1.0,8,7,0.0,0.0
14,2015.0,Rural,Treatment,1.0,0.0,5,8,9.0,3.875,1.0,12,5,0.0,1.0
15,2016.0,Rural,Treatment,1.0,0.0,2,4,8.0,2.967366,1.0,5,3,0.0,1.0
16,2017.0,Rural,Control,0.0,0.0,6,5,0.0,0.16666667,1.0,8,8,0.0,0.0
17,2018.0,Rural,Treatment,0.0,1.0,4,4,9.0,3.7465985,1.0,8,7,0.0,1.0
18,2019.0,Rural,Treatment,0.0,1.0,3,4,8.0,2.3333333,1.0,5,3,0.0,1.0
19,2020.0,Rural,Treatment,1.0,0.0,3,0,0.0,0.72727275,1.0,0,3,0.0,1.0
20,2021.0,Rural,Control,0.0,0.0,1,3,0.0,1.3636364,1.0,3,2,0.0,0.0
21,2022.0,Rural,Treatment,1.0,0.0,6,6,9.0,4.5441175,1.0,13,8,0.0,1.0
22,3023.0,Urban,Treatment,1.0,0.0,2,2,7.0,3.7179487,1.0,2,2,1.0,1.0
23,3024.0,Urban,Treatment,1.0,0.0,2,0,7.0,3.8541226,1.0,0,2,1.0,1.0
24,3025.0,Urban,Treatment,1.0,0.0,3,3,8.0,2.3077922,1.0,4,3,1.0,1.0
25,3026.0,Urban,Treatment,1.0,0.0,5,2,8.0,1.2875,1.0,2,6,1.0,1.0
26,3027.0,Rural,Treatment,0.0,1.0,5,2,5.0,2.4,1.0,3,6,0.0,1.0
27,3028.0,Urban,Control,0.0,0.0,2,0,0.0,0.0,1.0,0,2,1.0,0.0
28,3029.0,Rural,Treatment,1.0,0.0,2,2,3.0,2.5555556,1.0,2,3,0.0,1.0
29,3030.0,Urban,Treatment,0.0,1.0,3,5,7.0,1.25,1.0,10,4,1.0,1.0
30,3031.0,Urban,Control,0.0,0.0,3,1,0.0,1.3636364,1.0,1,4,1.0,0.0
31,3032.0,Urban,Treatment,0.0,1.0,3,5,8.0,3.4333332,1.0,7,4,1.0,1.0
32,3033.0,Urban,Treatment,1.0,0.0,2,4,7.0,4.1625,1.0,5,2,1.0,1.0
33,3034.0,Urban,Treatment,0.0,1.0,4,3,6.0,1.1818182,1.0,4,6,1.0,1.0
34,3035.0,Urban,Treatment,1.0,0.0,6,2,6.0,1.1,1.0,2,8,1.0,1.0
35,3036.0,Urban,Treatment,1.0,0.0,2,3,8.0,2.4520886,1.0,3,3,1.0,1.0
36,3037.0,Urban,Control,0.0,0.0,2,1,0.0,0.44444445,1.0,1,3,1.0,0.0
37,3038.0,Urban,Treatment,0.0,1.0,2,1,7.0,2.4,1.0,1,2,1.0,1.0
38,3039.0,Urban,Treatment,0.0,1.0,5,2,6.0,3.5511365,1.0,2,6,1.0,1.0
39,3040.0,Urban,Control,0.0,0.0,2,4,0.0,0.27272728,1.0,4,2,1.0,0.0
40,3041.0,Urban,Control,0.0,0.0,6,6,0.0,1.4545455,1.0,11,17,1.0,0.0
41,3042.0,Urban,Treatment,0.0,1.0,5,4,8.0,2.4,1.0,5,10,1.0,1.0
42,3043.0,Rural,Control,0.0,0.0,1,1,0.0,0.09090909,1.0,4,1,0.0,0.0
43,3044.0,Urban,Treatment,0.0,1.0,3,4,7.0,1.4,1.0,4,3,1.0,1.0
44,3045.0,Urban,Control,0.0,0.0,0,1,0.0,0.44444445,1.0,1,0,1.0,0.0
45,3046.0,Urban,Control,0.0,0.0,2,1,0.0,0.083333336,1.0,1,3,1.0,0.0
46,3047.0,Urban,Treatment,1.0,0.0,2,1,6.0,2.1666667,1.0,1,2,1.0,1.0
47,4048.0,Urban,Control,0.0,0.0,2,0,0.0,1.3333334,1.0,0,2,1.0,0.0
48,4049.0,Rural,Treatment,0.0,1.0,0,1,8.0,1.0,1.0,1,0,0.0,1.0
49,4050.0,Rural,Treatment,0.0,1.0,1,2,9.0,2.98125,1.0,2,1,0.0,1.0
50,4051.0,Rural,Control,0.0,0.0,1,3,0.0,0.1,1.0,3,1,0.0,0.0
51,4052.0,Rural,Control,0.0,0.0,0,0,0.0,1.2727273,1.0,0,0,0.0,0.0
52,4053.0,Rural,Treatment,0.0,1.0,2,2,9.0,3.5325205,1.0,3,2,0.0,1.0
53,4054.0,Rural,Control,0.0,0.0,1,1,0.0,1.3333334,1.0,1,1,0.0,0.0
54,4055.0,Urban,Treatment,0.0,1.0,0,1,7.0,2.1818182,1.0,1,0,1.0,1.0
55,4056.0,Urban,Control,0.0,0.0,3,5,0.0,0.0,1.0,7,7,1.0,0.0
56,4057.0,Urban,Treatment,1.0,0.0,8,3,8.0,1.2727273,1.0,7,15,1.0,1.0
57,4058.0,Rural,Treatment,1.0,0.0,1,1,9.0,3.6573427,1.0,2,3,0.0,1.0
58,4059.0,Urban,Control,0.0,0.0,0,0,0.0,1.0833334,1.0,0,0,1.0,0.0
59,4060.0,Urban,Treatment,0.0,1.0,3,1,6.0,0.0,1.0,1,3,1.0,1.0
60,4061.0,Urban,Treatment,1.0,0.0,1,2,8.0,2.3636365,1.0,4,1,1.0,1.0
61,4062.0,Urban,Treatment,1.0,0.0,4,1,6.0,1.1818182,1.0,1,5,1.0,1.0
62,4063.0,Urban,Treatment,0.0,1.0,0,5,8.0,3.4864435,1.0,6,0,1.0,1.0
63,4064.0,Urban,Control,0.0,0.0,0,0,0.0,0.1,1.0,0,0,1.0,0.0
64,4065.0,Urban,Treatment,0.0,1.0,2,0,6.0,0.18181819,1.0,0,8,1.0,1.0
65,4066.0,Urban,Control,0.0,0.0,0,1,0.0,1.4,1.0,1,0,1.0,0.0
66,4067.0,Rural,Treatment,1.0,0.0,1,6,7.0,1.3,1.0,8,1,0.0,1.0
67,4068.0,Urban,Treatment,0.0,1.0,0,6,7.0,1.1666666,1.0,8,0,1.0,1.0
68,4069.0,Urban,Treatment,1.0,0.0,0,3,8.0,2.25,1.0,6,0,1.0,1.0
69,4070.0,Urban,Treatment,1.0,0.0,0,3,8.0,3.3112674,1.0,3,0,1.0,1.0
70,4071.0,Urban,Treatment,0.0,1.0,0,6,8.0,3.4473684,1.0,16,0,1.0,1.0
71,4072.0,Urban,Treatment,1.0,0.0,4,6,9.0,2.338509,1.0,11,5,1.0,1.0
72,5073.0,Urban,Control,0.0,0.0,3,1,0.0,1.0833334,1.0,2,5,1.0,0.0
73,5074.0,Urban,Treatment,0.0,1.0,4,1,8.0,2.1666667,1.0,1,4,1.0,1.0
74,5075.0,Urban,Control,0.0,0.0,3,5,0.0,1.3333334,1.0,8,4,1.0,0.0
75,5076.0,Urban,Treatment,1.0,0.0,5,2,8.0,3.3954935,1.0,5,11,1.0,1.0
76,5077.0,Urban,Treatment,0.0,1.0,6,4,6.0,2.25,1.0,7,11,1.0,1.0
77,5078.0,Urban,Treatment,0.0,1.0,3,1,8.0,1.0,1.0,2,3,1.0,1.0
78,5079.0,Urban,Treatment,1.0,0.0,1,1,6.0,2.25,1.0,1,1,1.0,1.0
79,5080.0,Rural,Treatment,0.0,1.0,5,2,8.0,2.3636365,1.0,2,6,0.0,1.0
80,5081.0,Rural,Control,0.0,0.0,1,1,0.0,1.1818182,1.0,1,1,0.0,0.0
81,5082.0,Urban,Control,0.0,0.0,7,3,0.0,1.3,1.0,3,9,1.0,0.0
82,5083.0,Urban,Control,0.0,0.0,2,5,0.0,1.2727273,1.0,5,4,1.0,0.0
83,5084.0,Urban,Treatment,0.0,1.0,0,0,6.0,1.2727273,1.0,0,0,1.0,1.0
84,5085.0,Rural,Control,0.0,0.0,1,3,0.0,0.16666667,1.0,5,2,0.0,0.0
85,5086.0,Urban,Control,0.0,0.0,6,3,0.0,0.09090909,1.0,4,8,1.0,0.0
86,5087.0,Urban,Treatment,1.0,0.0,1,2,8.0,2.4,1.0,2,1,1.0,1.0
87,5088.0,Rural,Treatment,1.0,0.0,5,4,7.0,2.7411764,1.0,5,5,0.0,1.0
