,uid,b_visit,b_pol_handling,b_safety,e_urja_knowledge,e_visit,e_pol_handling,e_safety,spw,e_gender,hh_id,member_gender,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,attrited
0,10512011,0.0,0.44444445,3.6666667,No,0.0,0.5,4.0,0.0015256205,Female,1051201.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
1,10512021,0.0,0.0,3.6666667,,,,,0.0015256205,,1051202.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
2,10512031,0.0,-0.11111111,2.3333333,No,0.0,0.25,2.0,0.0015256205,Female,1051203.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
3,10512041,0.0,-0.2,3.6666667,No,0.0,,3.0,0.0015256205,Female,1051204.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
4,10512051,0.0,0.0,3.3333333,,,,,0.0015256205,,1051205.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
5,10512090,0.0,0.2857143,3.6666667,,,,,0.0076281023,,1051209.0,male,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
6,10512091,0.0,0.875,3.6666667,,,,,0.0015256205,,1051209.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
7,10512100,0.0,0.0,4.0,,,,,0.0076281023,,1051210.0,male,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
8,10512101,0.0,-1.0,3.0,,,,,0.0015256205,,1051210.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
9,10512111,0.0,0.71428573,3.0,,,,,0.0015256205,,1051211.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
10,10512141,0.0,0.0,3.6666667,No,0.0,1.0,3.0,0.0015256205,Female,1051214.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
11,10512151,0.0,0.875,3.6666667,,,,,0.0015256205,,1051215.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
12,10512161,0.0,0.0,3.0,,,,,0.0015256205,,1051216.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
13,10512171,1.0,0.0,3.3333333,No,0.0,0.33333334,2.0,0.0015256205,Female,1051217.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
14,10512191,0.0,-0.5714286,3.3333333,,,,,0.0015256205,,1051219.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
15,10512201,0.0,-0.11111111,1.6666666,No,0.0,-0.2,2.0,0.0015256205,Female,1051220.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
16,10512231,0.0,-0.44444445,3.0,,,,,0.0015256205,,1051223.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
17,10512241,1.0,0.7777778,4.0,No,1.0,0.6666667,3.3333333,0.0015256205,Female,1051224.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
18,10512251,1.0,0.25,3.6666667,No,1.0,0.0,3.6666667,0.0015256205,Female,1051225.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
19,10512261,0.0,-0.5555556,3.6666667,No,0.0,0.0,2.6666667,0.0015256205,Female,1051226.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
20,10512271,0.0,0.125,3.3333333,No,0.0,-0.2,3.0,0.0015256205,Female,1051227.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
21,10512281,0.0,0.6666667,3.3333333,,,,,0.0015256205,,1051228.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
22,10512291,0.0,-0.5555556,3.0,,,,,0.0015256205,,1051229.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
23,10512300,1.0,-1.0,3.3333333,No,1.0,-1.0,3.0,0.0076281023,Male,1051230.0,male,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
24,10512301,0.0,0.14285715,3.0,,,,,0.0015256205,,1051230.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
25,10512321,0.0,0.6666667,3.6666667,No,0.0,0.0,4.0,0.0015256205,Female,1051232.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
26,10512350,0.0,0.11111111,3.6666667,Yes,1.0,0.8,3.6666667,0.0076281023,Male,1051235.0,male,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
27,10512351,0.0,0.0,3.3333333,No,1.0,-0.33333334,2.6666667,0.0015256205,Female,1051235.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
28,10512361,0.0,0.16666667,3.0,,,,,0.0015256205,,1051236.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
29,10512371,0.0,0.11111111,3.3333333,,,,,0.0015256205,,1051237.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
30,10512421,0.0,-0.33333334,3.3333333,No,1.0,-0.14285715,4.0,0.0015256205,Female,1051242.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
31,10512431,0.0,1.0,4.0,,,,,0.0015256205,,1051243.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
32,10512450,1.0,0.71428573,3.0,No,1.0,0.6666667,3.3333333,0.0076281023,Male,1051245.0,male,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
33,10512451,0.0,0.33333334,3.0,No,0.0,1.0,3.6666667,0.0015256205,Female,1051245.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
34,10512461,0.0,1.0,3.6666667,,,,,0.0015256205,,1051246.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,1.0
35,10512481,0.0,0.5,3.3333333,No,0.0,1.0,3.0,0.0015256205,Female,1051248.0,female,3023.0,107000,Urban,4.0,-0.0042945286,Treatment,regular mhd,3000.0,7.0,3.7179487,2.15,1.0,0.0,0.0
36,10522011,0.0,-0.6,3.3333333,,,,,0.002236511,,1052201.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
37,10522021,0.0,0.0,4.0,,,,,0.002236511,,1052202.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
38,10522031,0.0,0.11111111,3.3333333,No,0.0,0.71428573,3.0,0.002236511,Female,1052203.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
39,10522061,0.0,0.125,3.6666667,No,0.0,1.0,3.0,0.002236511,Female,1052206.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
40,10522091,0.0,,,,,,,0.002236511,,1052209.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
41,10522101,0.0,-0.6666667,3.0,No,0.0,0.0,3.0,0.002236511,Female,1052210.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
42,10522111,0.0,0.0,3.3333333,,,,,0.002236511,,1052211.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
43,10522141,0.0,0.0,3.3333333,,,,,0.002236511,,1052214.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
44,10522191,0.0,-0.44444445,3.6666667,,,,,0.002236511,,1052219.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
45,10522200,0.0,0.6,3.6666667,No,0.0,0.8,3.3333333,0.011182555,Male,1052220.0,male,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
46,10522201,0.0,,,No,0.0,1.0,3.0,0.002236511,Female,1052220.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
47,10522231,0.0,-0.6666667,3.0,No,0.0,-0.2857143,3.0,0.002236511,Female,1052223.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
48,10522251,0.0,0.71428573,3.3333333,,,,,0.002236511,,1052225.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
49,10522271,0.0,-0.125,3.0,No,0.0,0.5,2.6666667,0.002236511,Female,1052227.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
50,10522301,1.0,0.5555556,3.0,,,,,0.002236511,,1052230.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
51,10522321,0.0,0.0,3.0,No,0.0,0.0,3.3333333,0.002236511,Female,1052232.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,0.0
52,10522331,0.0,0.25,4.0,,,,,0.002236511,,1052233.0,female,3024.0,154026,Urban,4.0,-0.7275662,Treatment,regular mhd,3000.0,7.0,3.8541226,2.25,1.0,0.0,1.0
