,Unnamed: 0,uid,b_visit,b_pol_handling,b_safety,e_visit,e_pol_handling,e_safety,e_gender,hh_id,member_gender,ps_code,population,urban,dist_urban,treatment,regular_whd,women_whd,attrited,e_gender_encoded,member_gender_encoded,urban_encoded,treatment_encoded
0,0,10512011,0.0,0.44444445,3.6666667,0.0,0.5,4.0,Female,1051201.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,2,10512031,0.0,-0.11111111,2.3333333,0.0,0.25,2.0,Female,1051203.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10,10,10512141,0.0,0.0,3.6666667,0.0,1.0,3.0,Female,1051214.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
13,13,10512171,1.0,0.0,3.3333333,0.0,0.33333334,2.0,Female,1051217.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15,15,10512201,0.0,-0.11111111,1.6666666,0.0,-0.2,2.0,Female,1051220.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17,17,10512241,1.0,0.7777778,4.0,1.0,0.6666667,3.3333333,Female,1051224.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18,18,10512251,1.0,0.25,3.6666667,1.0,0.0,3.6666667,Female,1051225.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19,19,10512261,0.0,-0.5555556,3.6666667,0.0,0.0,2.6666667,Female,1051226.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
20,20,10512271,0.0,0.125,3.3333333,0.0,-0.2,3.0,Female,1051227.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
25,25,10512321,0.0,0.6666667,3.6666667,0.0,0.0,4.0,Female,1051232.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
27,27,10512351,0.0,0.0,3.3333333,1.0,-0.33333334,2.6666667,Female,1051235.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
30,30,10512421,0.0,-0.33333334,3.3333333,1.0,-0.14285715,4.0,Female,1051242.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
33,33,10512451,0.0,0.33333334,3.0,0.0,1.0,3.6666667,Female,1051245.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
35,35,10512481,0.0,0.5,3.3333333,0.0,1.0,3.0,Female,1051248.0,female,3023.0,107000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
38,38,10522031,0.0,0.11111111,3.3333333,0.0,0.71428573,3.0,Female,1052203.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
39,39,10522061,0.0,0.125,3.6666667,0.0,1.0,3.0,Female,1052206.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
41,41,10522101,0.0,-0.6666667,3.0,0.0,0.0,3.0,Female,1052210.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
47,47,10522231,0.0,-0.6666667,3.0,0.0,-0.2857143,3.0,Female,1052223.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
49,49,10522271,0.0,-0.125,3.0,0.0,0.5,2.6666667,Female,1052227.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
51,51,10522321,0.0,0.0,3.0,0.0,0.0,3.3333333,Female,1052232.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
55,55,10522401,0.0,0.33333334,3.0,0.0,0.75,3.0,Female,1052240.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
58,58,10522451,0.0,1.0,3.3333333,0.0,0.125,3.0,Female,1052245.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
59,59,10522481,0.0,1.0,3.6666667,0.0,1.0,4.0,Female,1052248.0,female,3024.0,154026,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
63,63,10532041,0.0,-1.0,1.6666666,0.0,0.75,3.0,Female,1053204.0,female,3025.0,85000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
64,64,10532051,0.0,0.25,3.0,0.0,1.0,3.0,Female,1053205.0,female,3025.0,85000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
67,67,10532091,0.0,0.0,2.6666667,0.0,0.25,2.3333333,Female,1053209.0,female,3025.0,85000,Urban,4.0,Treatment,1.0,0.0,0.0,0.0,0.0,1.0,1.0
