,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
0,2019-06-01,35,8,5,20,0,100,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
1,2019-11-01,29,10,4,10,1,0,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
4,2020-05-01,32,6,4,10,0,22,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
8,2019-07-01,24,4,4,3,0,79,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
9,2020-03-01,48,23,8,37,0,13,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
10,2019-09-01,29,8,4,8,0,40,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
13,2019-10-01,47,15,7,21,0,2,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
15,2020-02-01,37,14,4,16,0,9,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
19,2019-12-01,28,10,4,15,3,8,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
20,2020-01-01,30,11,3,13,0,9,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
21,2020-04-01,28,9,6,14,0,11,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
22,2019-08-01,33,9,5,9,0,66,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
24,2019-05-01,43,19,7,26,0,77,1001.0,Rural,1.0,Treatment,9.0,2.9166667,2.2,0.0,1.0,0.0,1.0
75,2020-02-01,20,7,3,13,0,0,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
78,2019-05-01,8,0,0,0,0,5,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
79,2019-12-01,13,7,5,9,2,8,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
80,2019-06-01,18,3,1,7,0,9,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
81,2019-11-01,16,2,2,3,1,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
86,2020-05-01,17,3,2,10,0,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
87,2020-01-01,12,2,1,4,2,6,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
88,2019-09-01,8,2,2,1,0,7,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
92,2020-03-01,17,7,7,7,0,9,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
95,2019-08-01,12,1,1,0,2,18,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
96,2019-07-01,18,4,3,13,2,14,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
97,2019-10-01,11,2,2,2,2,1,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
98,2020-04-01,19,2,2,2,0,5,1004.0,Rural,1.0,Treatment,7.0,3.8972974,2.03,1.0,0.0,0.0,1.0
102,2019-11-01,9,1,1,1,0,0,1005.0,Rural,1.0,Treatment,9.0,4.1576576,2.2,0.0,1.0,0.0,1.0
